"UserId","Intial Claim","Agreementtime","Questions","Num of Rejection","User Points"
"131","none","585","4","0","35"
"132","[ [4","575","0","0","31"
"133","[ [3","0","10","0","4"
"134","[ [4","365","0","0","28"
"135","[ [5","130","0","0","35"
"136","[ [5","475","10","0","34"
"137","none","0","10","0","4"
"138","[ [3","585","6","0","35"
"139","[ [5","0","0","0","4"
"140","none","405","6","0","35"
"141","[ [5","290","0","0","35"
"142","[ [5","0","4","0","4"
"143","[ [5","240","0","0","35"
"144","[ [5","160","6","0","37"
"145","none","580","11","0","35"
"146","none","0","14","0","4"
"147","none","580","7","0","35"
"148","none","0","6","0","4"
"149","[ [5","585","7","0","35"
"150","none","0","10","0","4"
"151","[ [5","250","0","0","38"
"152","[ [5","585","0","0","35"
"153","[ [5","480","0","0","39"
"154","[ [5","320","4","0","20"
"155","[ [5","280","0","0","39"
"156","[ [5","315","0","0","35"
"157","[ [5","590","5","0","35"
"158","[ [5","360","3","0","33"
"159","[ [2","455","0","0","38"
"160","[ [4","210","4","0","32"
"161","[ [5","190","3","0","35"
"162","[ [5","405","7","0","22"
"163","[ [5","295","0","0","28"
"164","[ [5","160","0","0","35"
"165","[ [5","220","4","0","34"
"166","[ [5","245","3","0","27"
"167","[ [5","200","2","0","33"
"168","[ [5","140","2","0","32"
"169","[ [5","245","0","0","35"
"170","[ [5","130","0","0","35"
"171","[ [5","115","0","0","35"
"172","[ [5","185","0","0","39"
"173","[ [0","200","6","0","25"
"174","[ [5","140","3","0","35"
"175","[ [5","550","5","0","35"
"176","[ [5","575","2","0","37"
"177","none","0","6","0","4"
"178","[ [5","580","0","0","32"
"179","[ [5","0","7","0","4"
"180","[ [1","435","1","0","26"
"181","[ [5","330","0","0","33"
"182","[ [1","0","0","0","4"
"183","[ [5","175","6","0","35"
"184","[ [5","130","0","0","35"
"185","[ [5","220","0","0","35"
"186","[ [2","310","6","0","25"
"187","[ [5","210","0","0","35"
"188","[ [5","140","0","0","35"
"189","[ [5","195","0","0","35"
"190","[ [5","420","0","0","22"
"191","[ [5","245","5","0","29"
"192","[ [5","80","0","0","35"
"193","[ [5","455","2","0","35"
"194","[ [5","240","0","0","35"
"195","[ [5","520","0","0","35"
"196","none","0","3","0","4"
"197","[ [5","460","4","0","29"
"198","none","580","4","0","34"
"199","none","0","9","0","4"
"200","[ [5","370","0","0","35"
"201","[ [5","165","3","0","35"
"202","[ [4","295","5","0","34"
"203","[ [4","285","5","0","31"
"204","[ [5","140","8","0","32"
